Product Name,Price,Link
Sacha Buttercup Setting Powder/Finishing Powder For Every Skin,"₦ 1,646",https://www.jumia.com.ng/sacha-buttercup-setting-powderfinishing-powder-for-every-skin-237729219.html
Ace Elec Power Banks 30000 MAh  Portable Super Fast Charger,"₦ 14,500",https://www.jumia.com.ng/ace-elec-power-banks-30000-mah-portable-super-fast-charger-295601071.html
Kiki New Gain Rechargeable Hair Clipper With Long Lasting Battery 2000mAh,"₦ 16,800",https://www.jumia.com.ng/kiki-new-gain-rechargeable-hair-clipper-with-long-lasting-battery-2000mah-71273659.html
Tongue Cleaner Tongue Scraper Set (big Iron Box),"₦ 3,899",https://www.jumia.com.ng/generic-tongue-cleaner-tongue-scraper-set-big-iron-box-248486228.html
Mythco 46Pcs Socket Wrench Set Red,"₦ 9,310",https://www.jumia.com.ng/mythco-46pcs-socket-wrench-set-red-291050486.html
Cerave Blemish Control Cleanser 236ml,"₦ 4,154",https://www.jumia.com.ng/cerave-blemish-control-cleanser-236ml-218217862.html
Sky Vision Solar Powered Dual Lens PTZ CCTV Camera V380,"₦ 99,099",https://www.jumia.com.ng/solar-powered-dual-lens-ptz-cctv-camera-v380-sky-vision-mpg9412725.html
EAGEAT 10 Speed Adjustable Laptop Stand+phone Stand,"₦ 4,189",https://www.jumia.com.ng/eageat-10-speed-adjustable-laptop-standphone-stand-240827727.html
Intelligent Body Fat Weight Scale Rechargeble,"₦ 10,699",https://www.jumia.com.ng/generic-intelligent-body-fat-weight-scale-rechargeble-253785596.html
GUEETON Rechargeable Metal Simple Style Hair Clipper Black Gold,"₦ 4,099",https://www.jumia.com.ng/gueeton-rechargeable-metal-simple-style-hair-clipper-black-gold-79020040.html
Kiki New Gain Professional Rechargeable Wireless Hair Clipper With Battery Percentage Display (NG-888B),"₦ 16,800",https://www.jumia.com.ng/led-display-cordless-rechargeable-clipper-ng-888b-kiki-new-gain-mpg2195387.html
Nova Electric Hair Straightener,"₦ 7,488",https://www.jumia.com.ng/electric-hair-straightener-nova-mpg9612050.html
SADOER 8pcs Fruit Face Mask & Anti Wrinkle Moisturizing Skin Care,"₦ 3,655",https://www.jumia.com.ng/8pcs-fruit-face-mask-anti-wrinkle-moisturizing-skin-care-sadoer-mpg1834845.html
3 Column Mobile Steel Wardrobe Closet,"₦ 22,899",https://www.jumia.com.ng/3-column-mobile-steel-wardrobe-closet-generic-mpg7112233.html
Nova Rechargeable Hair Clipper (NS 216),"₦ 4,099",https://www.jumia.com.ng/nova-rechargeable-hair-clipper-ns-216-56323998.html
GUIXIA  Air31 Wireless Bluetooth 5.3 In Ear Transparent Earphones,"₦ 4,857",https://www.jumia.com.ng/generic-guixia-air31-wireless-bluetooth-5.3-in-ear-transparent-earphones-303544329.html
LASA 132CM TRIPOD TRAVEL STAND FOR PHONE / CAMERA,"₦ 13,959",https://www.jumia.com.ng/132cm-tripod-travel-stand-for-phone-camera-lasa-mpg4310791.html
Ace Elec 50000 MAh Power Banks With LED Light Portable Super Fast Charger,"₦ 24,990",https://www.jumia.com.ng/ace-elec-50000-mah-power-banks-with-led-light-portable-super-fast-charger-348751098.html
Mateamoda Men Bags Wallets Purses Card Bags Male Money Bags,"₦ 4,032",https://www.jumia.com.ng/mateamoda-men-bags-wallets-purses-card-bags-male-money-bags-351347415.html
Digital Voice Arm Automatic Blood Pressure Monitor & USB+Bag,"₦ 21,547",https://www.jumia.com.ng/generic-digital-voice-arm-automatic-blood-pressure-monitor-usbbag-141157966.html
Night Walker Eau De Perfume Natural Spray-60ml,"₦ 2,561",https://www.jumia.com.ng/night-walker-eau-de-perfume-natural-spray-60ml-257580326.html
"NIVEA Dry Impact Roll-on For Men, 72h- 50ml (Pack Of 3)","₦ 4,285",https://www.jumia.com.ng/nivea-dry-impact-roll-on-for-men-72h-50ml-pack-of-3-104325942.html
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black-One Year Warranty,"₦ 215,800",https://www.jumia.com.ng/hikers-43-inch-frameless-android-smart-fhd-led-tv-black-one-year-warranty-385174476.html
MXQ Pro Android 12 TV Box 4K 2.4G/5.8G WiFi 5G Quad Core,"₦ 27,315",https://www.jumia.com.ng/generic-mxq-pro-android-12-tv-box-4k-2.4g5.8g-wifi-5g-quad-core-250166200.html
LASA Window Privacy Frosted Glass Window Film - Black,"₦ 4,699",https://www.jumia.com.ng/lasa-window-privacy-frosted-glass-window-film-black-357410328.html
Phone Tripod Moblie Phone Clip Bracket Monopod Stand,"₦ 2,844",https://www.jumia.com.ng/generic-phone-tripod-moblie-phone-clip-bracket-monopod-stand-178240874.html
Pepsodent Cavity Fighter Toothpaste Pack Of 6,"₦ 5,375",https://www.jumia.com.ng/pepsodent-cavity-fighter-toothpaste-pack-of-6-107385297.html
"4pcs Mobile Gaming Thumb Sleeve Sets, Wasp Feelers(2 Pair)","₦ 2,216",https://www.jumia.com.ng/generic-4pcs-mobile-gaming-thumb-sleeve-sets-wasp-feelers2-pair-240817852.html
Lenovo XT60 Bluetooth Headset  Wireless  Headphones Black,"₦ 20,187",https://www.jumia.com.ng/lenovo-xt60-bluetooth-headset-wireless-headphones-black-239871806.html
TOUPHY Rechargeable Clipper For Cutting Machine Hair Trimmer,"₦ 2,699",https://www.jumia.com.ng/touphy-rechargeable-clipper-for-cutting-machine-hair-trimmer-206304746.html
Smartvolt-10'' Multifunctional Rechargeable Table Fan,"₦ 29,442",https://www.jumia.com.ng/generic-smartvolt-10-multifunctional-rechargeable-table-fan-351444984.html
TWS Bluetooth Earphones Sports Wireless Headphones With Mic,"₦ 4,899",https://www.jumia.com.ng/generic-tws-bluetooth-earphones-sports-wireless-headphones-with-mic-302899077.html
Ox Spacetek 18 Inches Standing Fan,"₦ 18,844",https://www.jumia.com.ng/spacetek-18-inches-standing-fan-ox-mpg4310816.html
Silver Crest 2L Industrial 8500W Food Crusher Blender With 2 Jar,"₦ 25,950",https://www.jumia.com.ng/silver-crest-2l-industrial-8500w-food-crusher-blender-with-2-jar-398701948.html
Wedding Rings For Men And Women,"₦ 3,947",https://www.jumia.com.ng/fashion-wedding-rings-for-men-and-women-109819032.html
itel Water Proof ISW-011 Native Storm Smart Watch - Blue,"₦ 16,950",https://www.jumia.com.ng/itel-water-proof-isw-011-native-storm-smart-watch-blue-363735916.html
TOUPHY Men's T-Shirts Short Sleeve Shorts Set - White,"₦ 11,699",https://www.jumia.com.ng/touphy-mens-t-shirts-short-sleeve-shorts-set-white-139771229.html
itel 27000mAh 22.5W Fast Charging Powerbank + Free 18W Charger,"₦ 26,290",https://www.jumia.com.ng/itel-27000mah-22.5w-fast-charging-powerbank-free-18w-charger-377536571.html
"itel A06 6.6"" HD+, 32GB ROM + Up To 4GB RAM, 4000mAh, 4G","₦ 86,850",https://www.jumia.com.ng/itel-a06-6.6-hd-32gb-rom-up-to-4gb-ram-4000mah-4g-366444774.html
Magnet Little Love Four-leaf Clover Necklace,"₦ 1,230",https://www.jumia.com.ng/fashion-magnet-little-love-four-leaf-clover-necklace-311551228.html
Monospec Sneakers - White,"₦ 8,199 - ₦ 11,699",https://www.jumia.com.ng/fashion-monospec-sneakers-white-13559200.html
4 Cups Toothbrush Holder With Rack Toothpaste Squeezer,"₦ 6,900",https://www.jumia.com.ng/generic-4-cups-toothbrush-holder-with-rack-toothpaste-squeezer-278219307.html
LASA Window Privacy Static Film Frosted Glass Non-Adhesive,"₦ 4,099",https://www.jumia.com.ng/lasa-window-privacy-static-film-frosted-glass-non-adhesive-317203201.html
Auto Car Repair Tool Kit Mechanical Ratchet Socket Wrench Spanner 46pcs,"₦ 14,599",https://www.jumia.com.ng/generic-auto-car-repair-tool-kit-mechanical-ratchet-socket-wrench-spanner-46pcs-230314658.html
"Silver Crest Commercial 8500W Food Crusher Blender, EXTRA MILL JAR","₦ 33,500",https://www.jumia.com.ng/commercial-8500w-food-crusher-blender-extra-mill-jar-silver-crest-mpg7812780.html
itel TWS BudsAir Pro Earphones Earbuds Bluetooth5.4ENC WHITE,"₦ 11,468",https://www.jumia.com.ng/itel-tws-budsair-pro-earphones-earbuds-bluetooth5.4enc-white-377371459.html
NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2),"₦ 7,615",https://www.jumia.com.ng/natural-fairness-clarifiant-for-women-400ml-pack-of-2-nivea-mpg1657699.html
Sport Headband Sweatbands Elastic Headbands For Gym Fitness,"₦ 1,030",https://www.jumia.com.ng/generic-sport-headband-sweatbands-elastic-headbands-for-gym-fitness-311622787.html
Oraimo Traveler 4 20000mAh 10.5W Power Banks,"₦ 15,725",https://www.jumia.com.ng/oraimo-traveler-4-20000mah-10.5w-power-banks-346375662.html
Berrykey Mens Casual Cargo Pants Combat Joggers Sweatpants Jean Trousers Chinos,"₦ 12,399 - ₦ 12,845",https://www.jumia.com.ng/berrykey-mens-casual-cargo-pants-combat-joggers-sweatpants-jean-trousers-chinos-79430249.html
Mateamoda Couple Watches Men Watches Women Watchs,"₦ 5,630",https://www.jumia.com.ng/mens-business-wrist-luminous-watch-dragon-golden-quartz-luxury-stainless-steel-fashion-mpg4077146.html
Hug Eau De Parfum + Hug Body Spray Combo (50ml + 75ml),"₦ 6,331",https://www.jumia.com.ng/hug-eau-de-parfum-hug-body-spray-combo-50ml-75ml-55872299.html
NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3),"₦ 9,705",https://www.jumia.com.ng/doshakara-pack-nourishing-cocoa-body-lotion-400mlpack-of-3-nivea-mpg1657642.html
Six-speed Electric Toothbrush USB Charging-White,"₦ 6,899",https://www.jumia.com.ng/generic-six-speed-electric-toothbrush-usb-charging-white-179349067.html
Shoe Rack Multi-layer Steel Six-layer Five-grid Brown,"₦ 11,983",https://www.jumia.com.ng/generic-shoe-rack-multi-layer-steel-six-layer-five-grid-brown-253815724.html
"Electric Nose Hair Trimmer, Quiet, Powerful.no Hair Pinching","₦ 7,555",https://www.jumia.com.ng/generic-electric-nose-hair-trimmer-quiet-powerful.no-hair-pinching-275404141.html
TOUPHY Men's Sneakers Lace Up Shoes,"₦ 13,359 - ₦ 13,950",https://www.jumia.com.ng/touphy-mens-sneakers-lace-up-shoes-126378444.html
Mateamoda Men Shoes Sneakers Sport Shoes Running Sneakers Casual Shoes  Welcome To Smark,"₦ 4,499 - ₦ 4,690",https://www.jumia.com.ng/men-shoes-sneakers-sports-shoes-running-shoes-men-athletic-shoes-fashion-mpg3755630.html
5-Pairs Classic Mens Assorted Patterns Office Socks,"₦ 5,059",https://www.jumia.com.ng/fashion-5-pairs-classic-mens-assorted-patterns-office-socks-379793391.html
Hisense 5kg Top Load Twin Tub Washing Machine (WM503-WSPA) With One Year Warranty,"₦ 152,250",https://www.jumia.com.ng/hisense-5kg-top-load-twin-tub-washing-machine-wm503-wspa-with-one-year-warranty-77919362.html
False Eyelashes 120pcs Cluster Natural Eye Lash Extension Kits 10-14mm,"₦ 9,203",https://www.jumia.com.ng/generic-false-eyelashes-120pcs-cluster-natural-eye-lash-extension-kits-10-14mm-363807657.html
Syinix 2.2L Electric Kettle - Silver,"₦ 6,753",https://www.jumia.com.ng/electric-kettle-2.2l-silver-syinix-mpg8223162.html
Jameson Black Barrel 70cl,"₦ 28,000",https://www.jumia.com.ng/jameson-black-barrel-70cl-96806477.html
Closeup Antibacterial Zinc Toothpaste 130g x 6,"₦ 5,515",https://www.jumia.com.ng/closeup-antibacterial-zinc-toothpaste-130g-x-6-99370522.html
William Lawson's Finest Blended Scotch Whisky 75cl,"₦ 12,670",https://www.jumia.com.ng/william-lawsons-finest-blended-scotch-whisky-75cl-83118629.html
Hisense 7.5kg Twin Tub Washing Machine - (WSQB 753 (JF),"₦ 185,000",https://www.jumia.com.ng/hisense-7.5kg-twin-tub-washing-machine-wsqb-753-jf-43279760.html
Hisense 142 Litres Chest Freezer With Power Indicator Function (180SH) - Silver + One Year Warranty.,"₦ 263,900",https://www.jumia.com.ng/hisense-142-litres-chest-freezer-with-power-indicator-function-180sh-silver-one-year-warranty.-128248454.html
Lontor Rechargeable Mist Air Cooler With Remote And Wheels CF041,"₦ 161,499",https://www.jumia.com.ng/lontor-rechargeable-mist-air-cooler-with-remote-and-wheels-cf041-269715194.html
Binatone 1.25L Blender And Smoothie Maker (BLS-360),"₦ 36,793",https://www.jumia.com.ng/binatone-1.25l-blender-and-smoothie-maker-bls-360-85352363.html
Sonix 40 Inch Super HD LED TV,"₦ 194,077",https://www.jumia.com.ng/sonix-40-inch-super-hd-led-tv-398331345.html
Electric Power Screwdrivers Screw Guns Cordless Screwdriver Power Tools Rechargeable Drill Driver,"₦ 23,100",https://www.jumia.com.ng/generic-electric-power-screwdrivers-screw-guns-cordless-screwdriver-power-tools-rechargeable-drill-driver-100212630.html
Shoe Rack Stackable Assembly Shoe Clothes Organizer-5 Layers,"₦ 10,999",https://www.jumia.com.ng/generic-shoe-rack-stackable-assembly-shoe-clothes-organizer-5-layers-376274625.html
Mini Portable Refill Bottle For Travel Bright Gold 5ml,"₦ 1,565",https://www.jumia.com.ng/fashion-mini-portable-refill-bottle-for-travel-bright-gold-5ml-310263125.html
"Cepsa 12.5kg Gas Cylinder,Glass Top 2 Burner,Regulator, Hose/Clips","₦ 84,899",https://www.jumia.com.ng/12.5kg-gas-cylinderglass-top-2-burnerregulator-hoseclips-cepsa-mpg1580491.html
Binatone 16 Inches Standing Fan (A1691) - Black + 2 Years Warranty,"₦ 45,415",https://www.jumia.com.ng/binatone-16-inches-standing-fan-a1691-black-2-years-warranty-76698431.html
"Infinix Smart 9HD 6.7"" 4GB RAM/64GB ROM Black","₦ 114,607",https://www.jumia.com.ng/infinix-smart-9hd-6.7-4gb-ram64gb-rom-black-384822849.html
Berrykey Men's Trendy Zipper Turtleneck Long Sleeve Varsity Jackets Sport Coats - White,"₦ 6,299",https://www.jumia.com.ng/berrykey-mens-trendy-zipper-turtleneck-long-sleeve-varsity-jackets-sport-coats-white-77394838.html
itel 2163 Wireless FM Torchlight Dual SIM - Black,"₦ 12,990",https://www.jumia.com.ng/itel-2163-wireless-fm-torchlight-dual-sim-black-84833750.html
4PCS Large Pillowcase Aloe Cotton Pillowcase - 74x48CM,"₦ 3,899 - ₦ 7,599",https://www.jumia.com.ng/generic-4pcs-large-pillowcase-aloe-cotton-pillowcase-74x48cm-368951904.html
Baby Walker With Pusher And Head Cover,"₦ 75,850",https://www.jumia.com.ng/generic-baby-walker-with-pusher-and-head-cover-373750037.html
Hisense 1HP Copper Coil Split Air Conditioner (AS09TG)  - White With 1 Year Warranty,"₦ 314,900",https://www.jumia.com.ng/hisense-1hp-copper-coil-split-air-conditioner-as09tg-white-with-1-year-warranty-77919363.html
"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black","₦ 112,215",https://www.jumia.com.ng/pop-9-6.67-3gb-ram-64gb-rom-android-14-black-tecno-mpg9491887.html
Canvas Bag Large Capacity Artistic Handbag Casual Tote Bag,"₦ 4,145",https://www.jumia.com.ng/fashion-canvas-bag-large-capacity-artistic-handbag-casual-tote-bag-346557577.html
Martini Sparkling Rose Extra Dry Wine 75cl,"₦ 11,570",https://www.jumia.com.ng/martini-sparkling-rose-extra-dry-wine-75cl-83118666.html
Royal 1.5HP Split Non- Inverter Air Conditioner (MA12RSA),"₦ 308,000",https://www.jumia.com.ng/royal-1.5hp-split-non-inverter-air-conditioner-ma12rsa-265580735.html
Hikers 32'' Frameless Android Smart HD LED TV - Black + 1 Year Warranty,"₦ 132,746",https://www.jumia.com.ng/hikers-32-frameless-android-smart-hd-led-tv-black-1-year-warranty-385172656.html
Hikers 50'' Inch Frameless Android Smart 4K LED TV-Black+WALLMOUNT - One Year Warranty,"₦ 336,608",https://www.jumia.com.ng/hikers-50-inch-frameless-android-smart-4k-led-tv-blackwallmount-one-year-warranty-385175460.html
PowMr 60A MPPT Solar Charge Controller 12-48V Max PV 190VDC,"₦ 83,599",https://www.jumia.com.ng/powmr-60a-mppt-solar-charge-controller-12-48v-max-pv-190vdc-355977613.html
"HITHIUM 1kWh Portable Power Supply Power Station,for Home Backup, Outdoor","₦ 290,000",https://www.jumia.com.ng/1kwh-portable-power-supply-power-stationfor-home-backup-outdoor-hithium-mpg9748900.html
Original Equipment 41-962 Platinum Spark Plug For Chevrolet,"₦ 1,015",https://www.jumia.com.ng/generic-original-equipment-41-962-platinum-spark-plug-for-chevrolet-311442111.html
Smart Bluetooth Speaker Big G Colorful With Wireless Charger,"₦ 27,260",https://www.jumia.com.ng/generic-smart-bluetooth-speaker-big-g-colorful-with-wireless-charger-308708455.html
Moi Moi Plate Container Cups With Cover – 12pcs,"₦ 13,875",https://www.jumia.com.ng/generic-moi-moi-plate-container-cups-with-cover-12pcs-311756351.html
Realme Note 50 Dual SIM  3GB RAM 64GB 4G,"₦ 111,200",https://www.jumia.com.ng/realme-note-50-dual-sim-3gb-ram-64gb-4g-377631668.html
Jameson Irish Whiskey 70cl,"₦ 17,000",https://www.jumia.com.ng/jameson-irish-whiskey-70cl-96806464.html
Nova 3 In 1 Hair Straightener And Curler With Hand Dryer,"₦ 14,400",https://www.jumia.com.ng/generic-nova-3-in-1-hair-straightener-and-curler-with-hand-dryer-396346224.html
Chivas Scotch Whiskey 12YO 70cl,"₦ 28,930",https://www.jumia.com.ng/scotch-whiskey-12yo-37.5cl-chivas-regal-mpg1652292.html
Binatone 16 Inch Duo Power Series Standing Fan (A1692),"₦ 43,370",https://www.jumia.com.ng/binatone-16-inch-duo-power-series-standing-fan-a1692-102988831.html
Silver -Rope Chain Woven Necklace Jewelry-length 56cm,"₦ 1,288",https://www.jumia.com.ng/fashion-silver-rope-chain-woven-necklace-jewelry-length-56cm-311536597.html
EkoTech 2 Layer Soap Dish Box/rack Wall Attachable Holder/Box,"₦ 3,399",https://www.jumia.com.ng/ekotech-2-layer-soap-dish-boxrack-wall-attachable-holderbox-401694292.html
"Infinix Smart 9HD   6.7"" 3GB RAM/64GB ROM Android 14 Go Gold","₦ 112,511",https://www.jumia.com.ng/infinix-smart-9hd-6.7-3gb-ram64gb-rom-android-14-go-gold-384823167.html
Maybelline Sky High Lash Sensational Mascara - Black,"₦ 5,815",https://www.jumia.com.ng/maybelline-sky-high-lash-sensational-mascara-black-261807210.html
Spalding NBA Professional Basket Ball,"₦ 22,107",https://www.jumia.com.ng/nba-professional-basket-ball-spalding-mpg9585435.html
Beefeater Gin England London Dry 75cl,"₦ 11,420",https://www.jumia.com.ng/beefeater-gin-england-london-dry-75cl-96806641.html
Ladies Slimming Camisole / Singlet - White,"₦ 3,089",https://www.jumia.com.ng/generic-ladies-slimming-camisole-singlet-white-330879659.html
Gordon Pink Berry 750ml,"₦ 6,300",https://www.jumia.com.ng/gordon-pink-berry-750ml-201829250.html
Pureliving Stainless Steel Whisk Set-3PCS,"₦ 6,260",https://www.jumia.com.ng/generic-pureliving-stainless-steel-whisk-set-3pcs-370806836.html
No 4Pcs Men's Underwear Breathable Comfortable Boxers - Multicolour,"₦ 10,460 - ₦ 10,879",https://www.jumia.com.ng/no-4pcs-mens-underwear-breathable-comfortable-boxers-multicolour-370886723.html
Bombay Sapphire London Dry Gin 75cl,"₦ 17,790",https://www.jumia.com.ng/bombay-sapphire-london-dry-gin-75cl-83118643.html
Dewar's 15 Year Old Blended Scotch Whisky 75cl,"₦ 40,770",https://www.jumia.com.ng/dewars-15-year-old-blended-scotch-whisky-75cl-283354006.html
William Lawson's Finest Blended Scotch Whisky 20cl,"₦ 4,360",https://www.jumia.com.ng/william-lawsons-finest-blended-scotch-whisky-20cl-258410328.html
Glenfiddich 12 year old,"₦ 58,950",https://www.jumia.com.ng/glenfiddich-12-year-old-193446042.html
Bumbu Original 70cl,"₦ 53,670",https://www.jumia.com.ng/bumbu-original-70cl-239580073.html
Clicquot Rosé naked 75cl,"₦ 117,890",https://www.jumia.com.ng/clicquot-rose-naked-75cl-351570315.html
LA Riviera Sparkling Rose Wine 75cl,"₦ 17,120",https://www.jumia.com.ng/la-riviera-sparkling-rose-wine-75cl-278996082.html
Richland Pinot Grigio 75cl,"₦ 11,690",https://www.jumia.com.ng/richland-pinot-grigio-75cl-239597108.html
Maybelline Fit Me Powder 312 Golden,"₦ 7,795",https://www.jumia.com.ng/maybelline-fit-me-powder-312-golden-261806739.html
Men Hoes Summer Male Sandals Casual Gladiator Breathable Leather Sandals - Black,"₦ 12,487 - ₦ 13,500",https://www.jumia.com.ng/fashion-men-hoes-summer-male-sandals-casual-gladiator-breathable-leather-sandals-black-401420705.html
Black With A Black Strip Pam Slippers,"₦ 6,937 - ₦ 7,500",https://www.jumia.com.ng/fashion-black-with-a-black-strip-pam-slippers-382131608.html
Hennessy XO box 70cl,"₦ 321,210",https://www.jumia.com.ng/hennessy-xo-box-70cl-351570329.html
Locally Made Industrial Cooker Single Burner.,"₦ 41,760",https://www.jumia.com.ng/generic-locally-made-industrial-cooker-single-burner.-364444590.html
Mini LED light for pictures & videos,"₦ 13,500",https://www.jumia.com.ng/generic-mini-led-light-for-pictures-videos-401696369.html
"redbeat B1 Kids Tablet, 7-inch HD, 2GB RAM/32GB ROM, Android 11, Blue Silicone Case, White","₦ 72,240",https://www.jumia.com.ng/redbeat-b1-kids-tablet-7-inch-hd-2gb-ram32gb-rom-android-11-blue-silicone-case-white-390696125.html
